dataset,step,label,n_episodes,episode,seed,success,progress_pct,stage_reached,stage_index,failure_mode,ever_reached,ever_grasped,ever_lifted,ever_hovered,r_reach_max,r_grasp_max,r_lift_max,r_hover_max,max_staged_reward,init_gripper_to_can,min_gripper_to_can,reach_closure_frac,init_can_to_bin_xy,min_can_to_bin_xy,bin_closure_frac,max_can_height_gain,max_can_displacement,can_fell_off,steps,step_first_reach,step_first_grasp,step_first_lift,step_first_hover,step_first_success,eef_path_length,eef_net_displacement,path_efficiency,action_abs_mean,action_abs_max,action_saturation_frac,action_jerk_mean,gripper_cmd_mean,gripper_closed_frac,gripper_switches,best_shaped_reward
mh,1000,k1_mh_1000,30,14,100014,False,18.49,reach,1,reached_but_no_grasp,True,False,False,False,0.6163,0.0,0.0,0.0,0.6163,0.1895,0.0404,0.7866,,,,0.0,0.0127,False,150,54,,,,,0.7943,0.2763,0.3478,0.274,1.0,0.0867,0.2979,-0.2517,0.3733,39,0.2739
mh,1000,k1_mh_1000,30,15,100015,False,9.73,reach,1,reached_but_no_grasp,True,False,False,False,0.3242,0.0,0.0,0.0,0.3242,0.2123,0.0821,0.6132,,,,0.0,0.0127,False,150,99,,,,,0.7594,0.2134,0.281,0.2651,1.0,0.0857,0.292,-0.4167,0.26,42,0.1441
mh,1000,k1_mh_1000,30,16,100016,False,1.78,none,0,never_reached_cube,False,False,False,False,0.0592,0.0,0.0,0.0,0.0592,0.2127,0.1745,0.1797,,,,0.0,0.0127,False,150,,,,,,0.9078,0.3171,0.3493,0.2817,1.0,0.0838,0.3014,-0.2917,0.3467,42,0.0263
mh,1000,k1_mh_1000,30,17,100017,False,6.72,none,0,never_reached_cube,False,False,False,False,0.224,0.0,0.0,0.0,0.224,0.2207,0.1035,0.5309,,,,0.0,0.0127,False,150,,,,,,0.7912,0.2958,0.3739,0.2718,1.0,0.0686,0.3073,-0.3451,0.34,52,0.0995
mh,1000,k1_mh_1000,30,18,100018,False,14.35,reach,1,reached_but_no_grasp,True,False,False,False,0.4784,0.0,0.0,0.0,0.4784,0.2151,0.0579,0.7311,,,,0.0,0.0362,False,150,45,,,,,0.7857,0.2665,0.3392,0.2599,1.0,0.0648,0.2974,-0.4166,0.2867,59,0.2126
mh,1000,k1_mh_1000,30,19,100019,False,11.42,reach,1,reached_but_no_grasp,True,False,False,False,0.3806,0.0,0.0,0.0,0.3806,0.1893,0.0724,0.6176,,,,0.0,0.0127,False,150,37,,,,,0.7905,0.2059,0.2605,0.2719,1.0,0.0857,0.3007,-0.0781,0.4667,37,0.1692
mh,1000,k1_mh_1000,30,20,100020,False,9.06,reach,1,reached_but_no_grasp,True,False,False,False,0.3021,0.0,0.0,0.0,0.3021,0.2094,0.0863,0.5879,,,,0.0,0.0127,False,150,108,,,,,0.7317,0.3068,0.4193,0.2618,1.0,0.0724,0.2949,-0.3575,0.32,51,0.1343
mh,1000,k1_mh_1000,30,21,100021,False,10.21,reach,1,reached_but_no_grasp,True,False,False,False,0.3405,0.0,0.0,0.0,0.3405,0.199,0.0792,0.602,,,,0.0,0.0127,False,150,59,,,,,0.7351,0.2141,0.2913,0.2738,1.0,0.0857,0.2984,-0.603,0.18,50,0.1513
mh,1000,k1_mh_1000,30,22,100022,False,2.15,none,0,never_reached_cube,False,False,False,False,0.0717,0.0,0.0,0.0,0.0717,0.2159,0.1646,0.2376,,,,0.0,0.0127,False,150,,,,,,0.7732,0.2682,0.3469,0.2642,1.0,0.08,0.3107,-0.393,0.2867,55,0.0319
mh,1000,k1_mh_1000,30,23,100023,False,4.07,none,0,never_reached_cube,False,False,False,False,0.1358,0.0,0.0,0.0,0.1358,0.2055,0.131,0.3627,,,,0.0,0.0127,False,150,,,,,,0.8654,0.3122,0.3607,0.2707,1.0,0.0905,0.2986,-0.5356,0.2267,53,0.0604
